,"WARNING:  These products can expose you to chemicals including Styrene, which is known to the",,,,,,,
,"State of California to cause cancer, and 1,3-Butadiene, which is known to the State of California to cause",,,,,,,
,birth defects and other reproductive harm.  For more information go to www.P65warnings.ca.gov. ,,,,,,,
,"Products, specifications, prices and availability subject to change without notice.  Per the U.S. Consumer",,,,,,,
,"Product Safety Improvement Act of 2008, these products are not toys and are not intended for",,,,,,,
,"children under 14 years of age.  © 2022 PIKO America, LLC.",,,,,,,
,,,,,,,,
2022 PIKO America Retailer Cost List:    06-10-22,,,,,,,,
*MAP = Minimum Advertised Price  - See PIKO America MAP Policy for Info.,,,,,,,,
2022 New Items in Bold Text,,,,,,,,
,,,,,,,,
,,Remarks/New Items,,2022,2022,2022,,
Item #,Description,Estimated Arrival,,Ret.Cost,MSRP,MAP*,,EAN # (Bar Code)
,,,,,,,,
,CATALOGS & FLYERS,,,,,,,
38600,"D&RGW Wood Coach 334, Yellow",Available,,$82.79,$137.99,$110.39,,4015615386001
38601,"D&RGW Wood Combine 202, Yellow (New #)",Available,,$82.79,$137.99,$110.39,,4015615386018
38602,"D&RGW Drovers Caboose 215, Yellow",Available,,$130.79,$217.99,$174.39,,4015615386025
38603,"D&RGW Wood Baggage Car 126, Yellow",Available,,$82.79,$137.99,$110.39,,4015615386032
38610,"D&RGW Wood Coach 337, Yellow",Available,,$82.79,$137.99,$110.39,,4015615386100
38626,"SF Wood Baggage Car 72493, Green",Available,,$82.79,$137.99,$110.39,,4015615386261
38628,"SF Wood Coach 16521, Green (New #)",Available,,$82.79,$137.99,$110.39,,4015615386285
38629,"PRR Wood Coach 80476, Tuscan",Very Limited,,$82.79,$137.99,$110.39,,4015615386292
38631,WP&YR Wood Coach 218,Very Limited,,$82.79,$137.99,$110.39,,4015615386315
38633,WP&YR Wood Combine 209,Available,,$82.79,$137.99,$110.39,,4015615386339
38634,WP&YR Wood Drovers Caboose 211,Very Limited,,$130.79,$217.99,$174.39,,4015615386346
38645,C&S Wood Combine,Available,,$82.79,$137.99,$110.39,,4015615386452
38646,C&S Wood Drover's Caboose,Sold Out,,$130.79,$217.99,$174.39,,4015615386469
38647,C&S Wood Baggage Car,Available,,$82.79,$137.99,$110.39,,4015615386476
38650,NYC Wood Coach,Available,,$82.79,$137.99,$110.39,,4015615386506
38651,NYC Wood Coach,Available,,$82.79,$137.99,$110.39,,4015615386513
38652,NYC Wood Combine,Available,,$82.79,$137.99,$110.39,,4015615386520
38653,UP Wood Coach 1873,Available,,$82.79,$137.99,$110.39,,4015615386537
38654,UP Wood Coach 1878,Available,,$82.79,$137.99,$110.39,,4015615386544
38655,UP Wood Combine 1922,Available,,$82.79,$137.99,$110.39,,4015615386551
38656,UP Wood Drovers Caboose 1953,Available,,$130.79,$217.99,$174.39,,4015615386568
38657,PRR Wood Coach 23117,Available,,$82.79,$137.99,$110.39,,4015615386575
38658,PRR Wood Coach 23119,Available,,$82.79,$137.99,$110.39,,4015615386582
38659,PRR Wood Combine 22610,Available,,$82.79,$137.99,$110.39,,4015615386599
38660,PRR Drovers Caboose 21015,Available,,$130.79,$217.99,$174.39,,4015615386605
38706,SF Work Caboose 110527,Very Limited,,$116.99,$194.99,$155.99,,4015615387060
38709,WP&YR Container Car 1127,Sold Out,,$71.39,$118.99,$95.19,,4015615387091
38732,SF Container Car 14628,Available,,$71.39,$118.99,$95.19,,4015615387329
38735,D&RGW Sightseeing Car 421 w/Bench Seats,Available,,$86.99,$144.99,$115.99,,4015615387350
38740,SF Flatcar w/Lumber Load,Available,,$85.79,$142.99,$114.39,,4015615387404
38741,B&O Flatcar w/Lumber Load,Sold Out,,$85.79,$142.99,$114.39,,4015615387411
38747,Conoco Tank Car,Available,,$74.99,$124.99,$99.99,,4015615387473
38749,D&RGW Pipe Gondola,Available,,$92.99,$154.99,$123.99,,4015615387497
38751,WP&YR Container Car,Available,,$71.39,$118.99,$95.19,,4015615387510
38753,WP&YR Sightseeing Car,Available,,$86.99,$144.99,$115.99,,4015615387534
38754,PRR Low-Side Gondola w/Roof Trusses,Available,,$93.59,$155.99,$124.79,,4015615387541
38755,PRR Bulkhead Flatcar w/Pulpwood Load,Available,,$93.59,$155.99,$124.79,,4015615387558
38756,RDG Bulkhead Flatcar w/Pipe Load,Available,,$93.59,$155.99,$124.79,,4015615387565
38763,D&RGW Bulkhead Flatcar,Sold Out,,$51.59,$85.99,$68.79,,4015615387633
38764,USATC Humvee Transport,Sold Out,,$93.59,$155.99,$124.79,,4015615387640
38766,CR Bulkhead Flatcar,Very Limited,,$51.59,$85.99,$68.79,,4015615387664
38767,Texaco Tank Car 1971,Very Limited,,$74.99,$124.99,$99.99,,4015615387671
38773,"SF Flatcar w/Stakes, 2-Pack",Available,,$85.79,$142.99,$114.39,,4015615387732
38774,"UP Flatcar w/Stakes, 2-Pack",Available,,$85.79,$142.99,$114.39,,4015615387749
38775,Sunoco Tank Car 7704,Available,,$74.99,$124.99,$99.99,,4015615387756
38778,"D&RGW Flatcar w/Stakes, 2-Pack",Available,,$85.79,$142.99,$114.39,,4015615387787
38779,"PRR Flatcar w/Stakes, 2-Pack",Available,,$85.79,$142.99,$114.39,,4015615387794
38781,Texaco Tank Car 1975,Q3,,$74.99,$124.99,$99.99,,4015615387817
38782,Sinclair Oils Tank Car 71977,Q3,,$74.99,$124.99,$99.99,,4015615387824
38825,"PRR Steel Boxcar 81374, Tuscan (New #)",Sold Out,,$58.79,$97.99,$78.39,,4015615388258
38829,"B&O Offset Hopper 810131, Black (New #)",Sold Out,,$44.99,$74.99,$59.99,,4015615388296
38831,"UP Steel Boxcar 120152, Armour Yellow (New #)",Very Limited,,$58.79,$97.99,$78.39,,4015615388319
38862,SF Transfer Caboose 1207,Limited,,$52.79,$87.99,$70.39,,4015615388623
38873,CNW Steel Boxcar 15355,Very Limited,,$58.79,$97.99,$78.39,,4015615388739
38879,B&O Sentinel Boxcar,Available,,$58.79,$97.99,$78.39,,4015615388791
38880,NYC Covered Hopper,Available,,$44.99,$74.99,$59.99,,4015615388807
38885,CB&Q Friendship Train Boxcar,Available,,$58.79,$97.99,$78.39,,4015615724292
38902,Vintage Warbirds P-51 Hopper,Very Limited,,$63.59,$105.99,$84.79,,4015615389026
38903,Vintage Warbirds P-47 Hopper,Very Limited,,$63.59,$105.99,$84.79,,4015615389033
38906,PRR Wood Caboose 461221,Very Limited,,$62.99,$104.99,$83.99,,4015615389064
38907,D&RGW Short Caboose 0501,Sold Out,,$62.99,$104.99,$83.99,,4015615389071
38909,Vintage Warbirds F4U Hopper,Very Limited,,$63.59,$105.99,$84.79,,4015615389095
38910,Vintage Warbirds P-38 Hopper,Very Limited,,$63.59,$105.99,$84.79,,4015615389101
38911,PRR Ore Car 21952 w/Ore Load,Available,,$38.99,$64.99,$51.99,,4015615389118
38912,D&RGW Ore Car 52116 w/Ore Load,Very Limited,,$38.99,$64.99,$51.99,,4015615389125
38913,SF Ore Car 2806 w/Ore Load,Available,,$38.99,$64.99,$51.99,,4015615389132
38914,"UP Ore Car 200331 ""Flag"" w/Ore Load",Very Limited,,$38.99,$64.99,$51.99,,4015615389149
38915,"North Pole Express Ore Car, 2-Pack",Limited,,$97.79,$162.99,$130.39,,4015615389156
38916,PRR Rib-Side Hopper 220838 w/Coal Load,Available,,$46.19,$76.99,$61.59,,4015615389163
38917,D&RGW Rib-Side Hopper 81131 w/Coal Load,Available,,$46.19,$76.99,$61.59,,4015615389170
